Course Number,Course Name,Number of Units,Description,Prerequisites
HIEU 109,"Blood, Soil, Boundaries: Nationalism in Europe ",4,"This course will explore the history of nationalism as idea and political movement in European history, from the French Revolution to the present.+",none
HIEU 110,The Rise of Europe ,4,The development of European society and culture from the decline of the Roman Empire to 1050.,none
HIEU 111,Europe in the Middle Ages ,4,The development of European society and culture from 1050 to 1400.,none
HIEU 115,The Pursuit of the Millennium ,4,"The year 2000 provokes questions about the transformation of time, culture, and society. Taking the year 1000 as a touchstone, this class examines the history of apocalyptic expectations in the Middle Ages through a close scrutiny of both texts and art.+",none
HIEU 116A,Greece and the Balkans in the Age of Ottoman Expansion ,4,"This course examines the history of Greece and the Balkans (13501683). Topics covered: the rise of the Ottoman Empire, conquest of the Balkans, the Ottoman system of rule, religious life, rural and urban society, law and order, and material culture.+",none
HIEU 116B,Greece and the Balkans in the Age of Nationalism,4,"This course examines the history of Greece and the Balkans (16831914). Topics covered: social and economic development in the eighteenth century, nationalism, independence wars, state-nation formation, interstate relations, the Eastern Question, rural society, urbanization, emigration, and the Balkan Wars. Students may not get credit for both HIEU 116B and HIEU 117A.",none
HIEU 116CD,Greece and the Balkans during the Twentieth Century ,4,"This course examines the history of Greece and the Balkans (19142001). Topics covered: World War I, population exchanges, authoritarianism, modernization, World War II, civil wars, Cold War, Greek-Turkish relations. Cyprus collapse of communism, 1990s conflicts, and EU expansion. Students may not get credit for both HIEU 116C and HIEU 116CD, or HIEU 116CD and HIEU 117B.",none
HIEU 117A,Greece and the Balkans in the Age of Nationalism ,4,"This course examines the history of Greece and the Balkans (16831914). Topics covered: social and economic development in the eighteenth century, nationalism, independence wars, state-nation formation, interstate relations, the Eastern Question, rural society, urbanization, emigration, and the Balkan Wars.",none
HIEU 117B,Greece and the Balkans during the Twentieth Century ,4,"This course examines the history of Greece and the Balkans (19142001). Topics covered: World War I, population exchanges, authoritarianism, modernization, World War II, resistance, civil wars, Cold War, Greek-Turkish relations, Cyprus, collapse of Communism, 1990s conflicts, and EU expansion.",none
HIEU 118,Americanization in Europe ,4,"Examines problems surrounding the transfer of American culture, values, and styles to Europe in the twentieth and twenty-first centuries. Topics may include: consumer society, popular culture, commercial and business practices, McDonaldization, political and military influence, democratization, and resistance to Americanization. Students may not receive credit for both HIEU 117S and HIEU 118.",none
HIEU 120,The Renaissance in Italy ,4,"The social, political, and cultural transformation of late-medieval Italy from the heyday of mercantile expansion before the plague to the dissolution of the Italian state system with the French invasions of 1494. Special focus upon family, associational life and factionalism in the city, the development of the techniques of capitalist accumulation, and the spread of humanism.+",none
HIEU 122,Ancient Greece from the Bronze Age to the Peloponnesian War ,4,"This course treats the history of the Greek world from the Mycenaeans to the aftermath of the Peloponnesian War. It focuses on the rise of the polis, the development of the Athenian democracy and imperialism, and the Peloponnesian War. +",none
HIEU 123,Ancient Greece from Classical Athens to Cleopatra ,4,"This course explores the dramatic political, social, and cultural changes in the Greek world and the Eastern Mediterranean from the fourth century BCE and the rise of Alexander the Great to the death of Cleopatra. +",none
HIEU 125,Reformation Europe ,4,"The intellectual and social history of the Reformation and Counter-Reformation from the French invasions to the Edict of Nantes. Emphasis is upon reform from below and above, the transformation of grass-roots spirituality into institutional control.+",none
HIEU 127,Sport in the Modern World ,4,"This course looks at the phenomenon of sport in all of its social, cultural, political, and economic aspects. The starting point will be the emergence of modern sport in nineteenth-century Britain, but the focus will be global. Since the approach will be topical rather than chronological, students should already have a good knowledge of world history in the nineteenth and twentieth centuries.",none
HIEU 128,Europe since 1945 ,4,"An analysis of European history since the end of the Second World War. Focus is on political, social, economic, and cultural developments within European societies as well as on Europes relationship with the wider world (the Cold War, decolonization).",none
HIEU 129,"Paris, Past and Present ",4,"This course surveys the historical and cultural significance of Paris from about 1500 to the present. The focus is on interactions between political, architectural, and urban evolutions, and the changing populations of Paris in times of war, revolutions, and peace.+",none
HIEU 130,Europe in the Eighteenth Century ,4,"A lecture-discussion course focusing on Europe from 1688 to 1789. Emphasis is on the social, cultural, and intellectual history of France, Germany, and England. Topics considered will include family life, urban and rural production and unrest, the poor, absolutism, and the Enlightenment from Voltaire to Rousseau.+",none
HIEU 131,The French Revolution: 1789–1814 ,4,"This course examines the Revolution in France and its impact in Europe and the Caribbean. Special emphasis will be given to the origins of the Revolution, the development of political and popular radicalism and symbolism from 1789 to 1794, the role of political participants (e.g., women, sans-culottes, Robespierre), and the legacy of revolutionary wars and the Napeoleonic system on Europe.+",none
HIEU 132,Germany from Luther to Bismarck ,4,"How Germany, from being a maze of tiny states rife with religious conflict, became a nation. Did the nations-building process lead to Nazism? +",none
HIEU 134,"The Formation of the Russian Empire, 800–1855 ",4,"State-building and imperial expansion among the peoples of the East Slavic lands of Europe and Asia from the origins of the Russian state in ninth-century Kiev, through Peter the Greats empire up to the middle of the nineteenth century.+",none
HIEU 135,"Sun, Sea, Sand, and Sex: Tourism and Tourists in the Contemporary World ",4,"Major developments in modern tourism history, focusing on post-1945 Europe in its broader global context. Topics include tourism's relationship to cultural change and transfers, globalization, international politics, business, economics, wealth distribution, the environment, sexuality and sex tourism, and national identity.",none
HIEU 136B,"European Society and Social Thought, 1870–1989 ",4,A lecture and discussion course on European political and cultural development and theory from 18701989. Important writings will be considered both as responses to and as provocations for political and cultural change.,none
HIEU 137,History of Colonialism: From New Imperialism to Decolonization ,4,This course surveys the age of colonialism in the nineteenth and twentieth century. The course will focus on the debates on colonialism in the metropolis as well as on the conflicts inside the colonies. Considerable emphasis will be placed on colonialism in Africa.,none
HIEU 139,Sex and Gender from the Renaissance to the French Revolution ,4,This course places gender and sexuality at the center of European history from the Renaissance to the French Revolution. We examine the distinct roles that men and women played in the period's major events. We track how practices and understandings of gender and sexuality shifted during the four centuries between 1500 and 1800. +,none
HIEU 140,History of Women and Gender in Europe: From the French Revolution to the Present ,4,"This course explores the diverse history of women from the French Revolution to the present, with an emphasis on the variety of women's experience, the formation of gender identities, and the shifting relationship between gender and power over the course of the modern period. Topics include women and citizenship, science and gender, feminist movements, and the evolution of women's work.",none
HIEU 141,"European Diplomatic History, 1870–1945 ",4,"European imperialism, alliances, and the outbreak of the First World War. The postwar settlement and its breakdown. The advent of Hitler and the disarray of the western democracies. The Second World War and the emergence of the super powers.",none
HIEU 142,"European Intellectual History, 1780–1870 ",4,"European thought from the late Enlightenment and the French Revolution to Marx and Baudelaire, emphasizing the origins of romanticism, idealism, and positivism in England, Germany, and France.",none
HIEU 143,"European Intellectual History, 1870–1945 ",4,"A lecture-discussion course on the crisis of bourgeois culture, the redefinition of Marxist ideology, and the transformation of modern social theory. Readings will include Nietzsche, Sorel, Weber, Freud, and Musil. (This course satisfies the minor in the Humanities Program.)",none
HIEU 144,Topics in European History ,4,Selected topics in European history. Course may be taken for credit up to three times as topics vary.,none
HIEU 145,The Holocaust as Public History ,4,"We will study historical accounts, memoirs, diaries, and oral histories to master the Holocaust epoch. We will contrast scholarly narratives to personal experience as different ways to learn about the past. Students will design projects for public education.",none
HIEU 146,"Fascism, Communism, and the Crisis of Liberal Democracy: Europe 1919–1945 ",4,"A consideration of the political, social, and cultural crisis that faced Western liberal democracies in the interwar period, with emphasis on the mass movements that opposed bourgeois liberalism from both the left and the right.",none
HIEU 150,Modern British History ,4,Emphasis on changes in social structure and corresponding shifts in political power. The expansion and the end of empire. Two World Wars and the erosion of economic leadership.,none
HIEU 151,Spain since 1808 ,4,"Social, political, cultural history of Spain since Napoleon. Features second Spanish Republic, the Civil War, Franco era, and transition to democracy.",none
HIEU 152,The Worst of Times: Everyday Life in Authoritarian and Dictatorial Societies ,4,"Examines how ordinary citizens coped with the problems of life under Europes authoritarian regimes. Topics may include Nazism, fascism, and quasi-fascist societies (e.g., Francos Spain, Salazars Portugal), and communist practice from Leninism to Stalinism to the milder Titoism of Yugoslavia.",none
HIEU 153,Topics in Modern European History ,4,Selected topics in modern European history. Course may be taken for credit up to three times as topic vary.,none
HIEU 154,Modern German History: From Bismarck to Hitler ,4,An analysis of the volatile course of German history from unification to the collapse of the Nazi dictatorship. Focus is on domestic developments inside Germany as well as on their impact on European and global politics in the twentieth century.,none
HIEU 156,"History of the Soviet Union, 1905–1991 ",4,"This course explores war, revolution, development, and terror in the Soviet Union from 19051991.",none
HIEU 157,Religion and the Law in Modern European History ,4,Comparative examination of the relationship between religious commitments and legal norms in Europe from the Reformation to the present. Topics may include government sponsorship; religious expression; conflicts with secular law; religious rights as human rights; and religious and cultural politics.,none
HIEU 158,Why Hitler? How Auschwitz? ,4,Why did Germany in 1919 produce an Adolf Hitler; how did the Nazis take power in 1933; and why did the Third Reich last until 1945? Why did the war against the Jews become industrial and absolute?,none
HIEU 159,"Three Centuries of Zionism, 1648–1948 ",4,For centuries the land of Israel was present in Jewish minds and hearts. Why and how did the return to Zion become a reality? Which were the vicissitudes of Jewish life in Palestine?,none
HIEU 160,Topics in Ancient Greek History ,4,Selected topics in ancient Greek history. May be taken for credit three times.  +,upper-division standing and department approval required. +
HIEU 161/261,Topics in Roman History ,4,Selected topics in Roman history. May be taken for credit three times as topics will vary. ,upper-division and department stamp.
HIEU 162/262,Topics in Byzantine History ,4,Selected topics in Byzantine history. May be taken for credit three times as topics vary. ,upper-division and department stamp.
HIEU 163/263,Special Topics in Medieval History ,4,"Intensive study of special problems or periods in the history of medieval Europe. Topics vary from year to year, and students may therefore repeat the course for credit. +",background in European history and upper-division standing. +
HIEU 164/264,Special Topics in Early Modern Europe ,4,This course looks at the European and non-European in the early modern era. Topics will vary year to year. May be taken for credit three times.,none
HIEU 171/271,Special Topics in Twentieth-Century Europe ,4,This course alternates with HIEU 170. Topics will vary from year to year. ,background in European history.
HIEU 172/272,Comparative European Fascism ,4,"This course will be a comparative and thematic examination of the fascist movement and regimes in Europe from the 1920s to the 1940s. In particular, it will focus on the emergence of the two major fascist movements in Italy and Germany. Graduate students will be required to submit a more substantial piece of work with in-depth analysis and with an increased number of sources cited. A typical undergraduate paper would be ten pages, whereas a typical graduate paper would require engagement with primary sources, more extensive reading of secondary material, and be about twenty pages. ",upper-division or graduate standing and department stamp.
HIEU 174/274,The Holocaust: A Psychological Approach ,4,An examination of how traditional moral concerns and human compassion came to be abandoned and how the mass murder of the Jews was organized and carried out. The focus of this course will be on the perpetrators. Requirements will vary for undergraduate MA and PhD students. Graduate students are required to submit a more substantial piece of work. ,upper-division or consent of instructor. Department stamp required.
HIEU 176/276,Politics in the Jewish Past ,4,"This seminar addresses Jewish civic autonomy in the late medieval era, the terms of emancipation in the European states, the politics of Jewish socialists, the costs of assimilation, and the consequences of a successful Zionist state in 1948. Graduate students will be required to submit a more substantial piece of work with in-depth analysis and with an increased number of sources cited. A typical undergraduate paper would be ten pages, whereas a typical graduate paper would require engagement with primary sources, more extensive reading of secondary material, and be about twenty pages. ",upper-division or graduate standing and department stamp.
HIEU 178/278,Soviet History ,4,Topics will vary from year to year. Graduate students are required to submit a more substantial paper. ,consent of instructor.
HIEU 181/281,"Immigration, Ethnicity, and Identity in Contemporary European Society ",4,"Comparative study of immigration and migration in Europe since 1945. Topics include (im)migrant adaptation, assimilation, and identity; labor systems, opposition to and regulation of migration; competing concepts of nationality and citizenship, conflicts over Muslim immigration; and implications for European integration. Students may not receive credit for both HIEU 181/281 and ERC 101. Graduate students will be expected to submit an additional paper. ",upper-division or graduate standing and department stamp.
HIEU 182/282,The Muslim Experience in Contemporary European Society ,4,Comparative study of Islam in Europe since 1945. Topics include indigenous populations; immigration; Islamic law/church-state questions; EU expansion/integration; gender issues; terrorism; Islamophobia; Europeanizing Islam; the historical tradition of European-Muslim encounter and its present political/cultural issues. Graduate students will be required to do an additional paper. ,upper-division or graduate standing and department stamp.
HIEU 183/283,Social History and Anthropology of the Mediterranean ,4,"This seminar examines the social history and anthropology of the Mediterranean. Topics covered are the Mediterranean debate, rural economy, peasant society, gender relations, honor and shame, rural violence, class formation, and emigration. The seminar introduces the methodology of historical anthropology. Graduate students will be expected to complete an additional paper or project. ",upper-division or graduate standing and department stamp.
HIEU 184/284,"Yugoslavia: Before, During, and After ",4,"Examines the multiethnic Yugoslav states that existed from 1918 until the 1990s. Topics include interethnic relations, foreign affairs, Titos revisionist communism, the consumerist Yugoslav Dream, culture and society, the violent break-up of the 1990s, and the post-Yugoslav order. Graduate students will be required to submit an additional paper. ",upper-division or graduate standing and department stamp.
HIEU 198,Directed Group Study ,"1, 2, 3, 4",Directed group study on European history under the supervision of a member of the faculty on a topic not generally included in the regular curriculum. Students must make arrangements with individual faculty members. ,"upper-division standing, completion of at least ninety units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 2.95, a completed and approved Special Studies form, and department stamp."
HIEU 199,Independent Study in European History ,4,Directed readings for undergraduates under the supervision of various faculty members. ,consent of instructor.
HILA 100,Conquest and Empire: The Americas ,4,"Lecture-discussion survey of Latin America from the pre-Columbian era to 1825. It addresses such issues as the nature of indigenous cultures, the implanting of colonial institutions, native resistance and adaptations, late colonial growth and the onset of independence. Students may not receive credit for both HILA 100 and HILA 100D.+",none
HILA 101,Latin America: The Construction of Independence 1810–1898 ,4,"Lecture-discussion survey of Latin America in the nineteenth century. It addresses such issues as the collapse of colonial practices in the society and economy as well as the creation of national governments, political instability, disparities among regions within particular countries, and of economies oriented toward the export of goods to Europe and the United States.",none
HILA 102,Latin America in the Twentieth Century ,4,"This course surveys the history of the region by focusing on two interrelated phenomena: the absence of democracy in most nations and the regions economic dependence on more advanced countries, especially the United States. Among the topics discussed will be the Mexican Revolution, the military in politics, labor movements, the wars in Central America, liberation theology, and the current debt crisis.",none
HILA 103,Revolution in Modern Latin America ,4,"A political, economic, and social examination of the causes and consequences of the Mexican, Cuban, and Nicaraguan revolutions. Also examine guerrilla movements that failed to gain power in their respective countries, namely the Shining Path in Peru, FARC in Colombia, and the Zapatistas in Mexico.",none
HILA 106,Changes and Continuities in Latin American History ,4,"Reviews the historical processes Latin American countries underwent after political independence from Spain/Portugal in the nineteenth century. Each country built its future, but there also were continuities. Assessing changes and continuities and their present-day consequences will be our goal.",none
HILA 110,Lord and Peasant in Latin America ,4,"Examination of the historical roots of population problems, social conflict, and revolution in Latin America, with emphasis on man-land relationships. Special emphasis on modern reform efforts and on Mexico, Cuba, Brazil, and Argentina. Lecture, discussion, reading, and films.",none
HILA 114,Dictatorships in Latin America ,4,How did dictatorships come about? Who were the authoritarian leaders? How did they organize their regimes and what were the consequences? Recent publications on dictators in Latin America allow for comparisons across countries and throughout time to answer those questions.,none
HILA 115,"The Latin American City, a History ",4,"A survey of the development of urban forms of Latin America and of the role that cities played in the region as administrative and economic centers. After a brief survey of pre-Columbian centers, the lectures will trace the development of cities as outposts of the Iberian empires and as city-states that formed the nuclei of new nations after 1810. The course concentrates primarily on the cities of South America, but some references will be made to Mexico City. It ends with a discussion of modern social ills and Third World urbanization. Lima, Santiago de Chile, Buenos Aires, Rio de Janeiro, and Sao Paulo are its principal examples.",none
HILA 117,"Indians, Blacks, and Whites: Family Relations in Latin America ",4,The development of family structures and relations among different ethnic groups. State and economy define and are defined by family relations. Thus this family approach also provides an understanding to broader socioeconomic processes and cultural issues.,none
HILA 120,History of Argentina ,4,"A survey from the colonial period to the present, with an emphasis on the nineteenth and twentieth centuries. Among the topics covered: the expansion of the frontier, the creation of a cosmopolitan, predominately European culture, and the failure of industrialization to provide an economic basis for democracy.",none
HILA 121A,History of Brazil through 1889 ,4,"This course covers many of the most transformative and fascinating social, political, and racial phenomena in Brazilian society through 1889, including indigenous life, Portuguese colonization, slavery and abolition, royal exile, independence and Empire, the birth of the Republic, war, social unrest, and ideals of modernization.",none
HILA 121B,"History of Brazil, 1889 to Present ",4,"This course examines factors that shed light on Brazil's label as a rising nation. In part, we will cover Brazil's two dictatorships, labor struggles, racial issues, immigration from Asia and Europe, environmental concerns, and emergence as economic and political powerhouse.",none
HILA 122,Cuba: From Colony to Socialist Republic ,4,"A lecture-discussion course on the historical roots of revolutionary Cuba, with special emphasis on the impact of the United States on the islands development and society.",none
HILA 123,The Incas and Their Ancestors ,4,"The Incas called their realm Tahuantinsuyu (Land of the Four Quarters). But the Incas were only one of the many ethnic groups in the Andean region. Many different other groups became a part of the Tahuantinsuyu in the wake of Inca expansion. Over the past decade, new and fascinating information on these processes have been published, and allow for a rereading of Inca history between 900 and 1535. +",none
HILA 124,The History of Chile 1880–Present ,4,"The course surveys Chiles basic developments beginning with the era of nitrate exports. Students will have the opportunity to address a specific issue of his or her own choosing and develop the topic for class presentation and a final paper. The course will cover politics, cultural changes, class struggles, Allendes revolutionary movement, and Pinochets dictatorship to the present.",none
HILA 124A,History of Women and Gender in Latin America ,4,"A broad historical overview of Hispanic-American womens history focusing on issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana womens history.",none
HILA 126,From Columbus to Castro: Caribbean Culture and Society ,4,"Exploration of the relationships between socioeconomic and cultural development in Caribbean history; slavery and empire; nationalism and migration; vodun and Rastafarianism, and the literary arts.",none
HILA 131,A History of Mexico ,4,"A century of Mexican history, 18211924: the quest for political unity and economic solvency, the forging of a nationality, the Gilded Age and aftermath, the ambivalent Revolution of Zapata and his enemies.",none
HILA 132,Modern Mexico: From Revolution to Drug War Violence ,4,"The social and political history of twentieth-century Mexico from the outbreak of revolution to the current “War on Drugs.” Highlights include the Zapatista calls for land reform, the muralist movement, and the betrayal of revolutionary ideals by a conservative elite. We will also study the Mexican urban experience and environmental degradation",none
HILA 134,Indians of Colonial Latin America ,4,"This course surveys the history of the native peoples of Mexico and the Andes from Iberian contact to the late colonial period (14921800). It focuses on changes and continuities in postconquest society, exploring topics such as gender, sexuality, and resistance.",none
HILA 144,Topics in Latin American History ,4,Selected topics in Latin American history. Course may be taken for credit up to three times as topics vary (the course subtitle will be different for each distinct topic). Students who repeat the same topic in HILA 144 will have the duplicate credit removed from their academic record.,none
HILA 145,People and Nature in Amazonia: An Unwritten History ,4,"Recordings of Amazonias past before Iberian adventurers searched for El Dorado are scarce. Environmental significance and the continued existence of large fluvial societies, read through the lenses of chroniclers, scientists, missionaries, and colonizers, allows a reconstruction of humankinds relationship to nature.",none
HILA 161/261,History of Women in Latin America ,4,"A broad historical overview of Hispanic American womens history of focusing on the issues of gender, sexuality, and the family as they relate to women, as well as the historiographical issues in Latin American and Chicana womens history.",none
HILA 162/262,Special Topics in Latin American History ,4,Topics will vary from year to year or quarter to quarter. May be repeated for an infinite number of times due to the nature of the content of the course always changing. ,consent of instructor.
HILA 163/263,The History of Chile 1880–Present ,4,The course surveys Chiles basic developments beginning with the era of nitrate exports. Students will have the opportunity to address a specific issue of his/her own choosing and develop the topic for class presentation and a final paper. Graduate students are expected to submit a more substantial piece of work. ,consent of instructor.
HILA 164/264,Women’s Work and Family Life in Latin America ,4,"Inside or outside the household, women have always worked. Where do we find Latin American women? How has the labor market changed? How was and is womens work perceived? What were the consequences of changing work patterns on family life? ",consent of instructor.
HILA 167/267,Scholarship on Latin American History in the Colonial Period ,4,"Introduction to the historiography on Latin America for the twentieth century: agrarian reforms, unionization, industrialization by import substitution, the political left, social development, and international relations. Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit an additional research paper. ",upper-division standing or consent of instructor; reading knowledge of Spanish; department stamp.
HILA 168/268,Scholarship on Latin American History in the Nineteenth Century ,4,"Introduction to the historiography on Latin America for the nineteenth century: world economy, nation-state building, agrarian processes, incipient industrialization, political and cultural thought, and social structure. Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit an additional research paper. ",upper-division standing or consent of instructor; reading knowledge of Spanish; department stamp.
HILA 169/269,Scholarship on Latin American History in the Twentieth Century ,4,"Introduction to the historiography on Latin America for the twentieth century: agrarian reforms, unionization, industrialization by import substitution, the political left, social development, and international relations. Requirements will vary for undergraduate, MA, and PhD students. Graduate students are required to submit an additional research paper. ",upper-division standing or consent of instructor; reading knowledge of Spanish; department stamp.
HILA 199,Independent Study in Latin American History ,4,Directed readings for undergraduates under the supervision of various faculty members. , consent of instructor and department stamp.
HINE 100,The Hebrew Bible and History ,4,"The history and literature of ancient Israel c. 1300 to 300 BCE. Reading from the Bible, historical and archaeological surveys, and studies of authorship.",
HINE 101,The Religion of Ancient Israel ,4,"Based on biblical and nonbiblical sources, a reconstruction of Israelite institutions, beliefs, and practices and their evolution over time.",
HINE 102,The Jews in Their Homeland in Antiquity ,4,"The Jews in Israel from the sixth century BCE to the seventh century CE. Statehood, nationalism, and autonomy within the framework of the Persian empire, the Hellenistic kingdoms, and the Roman-Byzantine empire. Cultural and religious developments will be explored.+",none
HINE 103,The Jewish Diaspora in Antiquity ,4,"The Jews outside their homeland and in pre-Islamic times, concentrating on the Greco-Roman West and the Parthian-Sasanian East. Topics include assimilation and survival; anti-Semitism and missionizing; patterns of organization and autonomy; cultural and religious developments.+",none
HINE 104,Sex in the Bible ,4,"Cross-listed with JUDA 136. This course examines biblical attitudes toward hetero- and homosexuality, rape, incest, bestiality, prostitution, marriage, and adultery in a variety of texts drawn from the Old Testament.",none
HINE 108,The Middle East before Islam ,4,"The peoples, politics, and cultures of Southwest Asia and Egypt from the sixth century BCE to the seventh century CE. The Achemenid Empire, the Ptolemaic and Seleucid kingdoms, the Roman Orient, the Parthian and Sasanian states.+",none
HINE 109,History of the Middle East ,4,"A survey of the history of the Middle East, in particular, the Ottoman Empire, from 12001800. The course examines the emergence of a new political and religious order following the Mongol conquests and its long-lasting effect on the region. +",none
HINE 112A,Great Stories from the Hebrew Bible ,4,A close reading of select prose narratives from the Hebrew Bible/Old Testament.+,none
HINE 112AL,Great Stories from the Hebrew Bible/Foreign Language ,1,Students with advanced Hebrew can study the texts in HINE 112A in the original language.,none
HINE 112B,Great Poems from the Hebrew Bible ,4,A close reading of select poetic passages from the Hebrew Bible/Old Testament.+,none
HINE 112BL,Great Poems from the Hebrew Bible/Foreign Language ,1,Students with advanced Hebrew can study the texts in HINE 112B in the original language.,none
HINE 113,Ancient Near East Mythology ,4,"Course will analyze and compare major myths from Egypt, Israel, Ugarit, and Mesopotamia, employing a variety of modern approaches.+",none
HINE 114,History of the Islamic Middle East ,4,"A survey of the Middle East from the rise of Islam to the regions economic, political, and cultural integration into the West (mid-nineteenth century). Emphasis on socioeconomic and political change in the early Arab empires and the Ottoman state.+",none
HINE 116,The Middle East in the Age of European Empires ,4,"Examines the contacts of the late Ottoman Empire and Qajar Iran with Europe from the Napoleonic invasion of Egypt to World War I, the diverse facets of the relationship with the West, and the reshaping of the institutions of the Islamic states and societies.",none
HINE 118,The Middle East in the Twentieth Century ,4,"An introduction to the history of the Middle East since 1914. Themes such as nationalism, imperialism, the oil revolution, and religious revivalism will be treated within a broad chronological and comparative framework drawing on the experience of selected countries.",none
HINE 119,US Mid-East Policy Post-WWII ,4,"An examination of post-WWII Middle East conflicts, including the Israeli-Arab conflicts, the Lebanese Civil War, and the Gulf War of the 1980s. The roles of the superpowers and Middle Eastern states during the period.",none
HINE 120,The Middle East in the New Century ,4,"An examination of the conflicts, changes, and continuities in the Middle East since 2000. The course includes inspection of the US role in Iraq and the region generally.",none
HINE 126,Iranian Revolution in Historical Perspective ,4,"Irans social and political history in the twentieth century with emphasis on the Constitutional movement of the late Qajar period, formation and development of the Pahlavi state, anatomy of the 197879 Revolution, and a survey of the Islamic Republic.",none
HINE 127,History of Modern Turkey ,4,"Eastern problems on the example of Turkey and with special attention to collective identities, state-society dynamics, foreign and regional policies, and varieties of modernity.",none
HINE 130,Introduction to the Old Testament: The Historical Books ,4,"Cross-listed with JUDA 130. This course will study the historical books of the Hebrew Bible (in English), Genesis through 2 Kings, through a literary-historical approach: how, when, and why the Hebrew Bible came to be written down, its relationship with known historical facts, and the archaeological record. Students may not receive credit for both HINE 130 and JUDA 130. (Formerly known as JUDA 100A.) ",upper-division standing or consent of instructor.
HINE 131,Introduction to the Old Testament: The Poetic Books ,4,"Cross-listed with JUDA 131. This course will study the prophetic and poetic books of the Hebrew Bible (in English), through a literary-historical approach. Students may not receive credit for both HINE 131 and JUDA 131. (Formerly known as JUDA 100B.) ",upper-division standing or consent of instructor.
HINE 135GS,Introduction to Contemporary Israeli Society and Culture ,4,"This course introduces the students to contemporary Israeli society. Among the topics explored: Israeli-Arab conflict; relations between European, Arab, Russian, and Ethiopian Jews; between secular and religious Jews; between Jews and Arabs; and between Israel and World Jewry.",none
HINE 136GS,Zionism and Post Zionism ,4,"This course explores the evolution of Zionism from its late nineteenth-century origins to the present. Among the topics explored: political, cultural, spiritual and social varieties of Zionism; and the contending narratives about its nature, meaning, and accomplishments.",none
HINE 144,Topics in Middle Eastern History ,4,Selected topics in the history of the Middle East. May be taken for credit three times.,none
HINE 145,Islam and Science: The History of Science in the Middle East ,4,"A survey of the history of science in the Middle East from 600 to the present day. The course examines the relationship between science, learning, and religion in Islamic societies and its connections to other regions of the globe. +",none
HINE 160/260,Special Topics in the Bible and Ancient Near East ,4,"The study of a single book, period, or issue on the Bible, in the context of the ancient Near Eastern world. Requirements will vary for undergraduate, masters, and doctoral students. Graduate students may be required to submit a more substantial piece of work.  +",department stamp required. +
HINE 162/262,Anthropology and the Hebrew Bible ,4,"This course approaches the Hebrew Bible (Old Testament) from the perspective of cultural anthropology. Institutions studied will include the family, rites of passage, food taboos, warfare, animism, demons, sorcery, and animal sacrifice. Formerly HINE 111; students may not receive credit for HINE 111 and HINE 162/262. Graduate students will be required to complete an extra paper. +",upper-division or graduate standing and department stamp. +
HINE 165/265,The Colonial Mandates in the Middle East ,4,A colloquium focusing on the problems and patterns in the emergence of modern Middle Eastern states since 1920. ,upper-division or graduate standing and department stamp.
HINE 166/266,Nationalism in the Middle East ,4,"Growth of nationalism in relation to imperialism, religion, and revolution in the nineteenth- and twentieth-century Middle East. Emergence of cultural and political ethnic consciousness in the Ottoman state. Comparative study of Arab, Iranian, and Turkish nationalism as well as Zionism. ",department stamp or consent of instructor.
HINE 170/270,Special Topics in Jewish History ,4,This course studies a period or theme in Jewish history. Topics will vary from year to year. ,department stamp required.
HINE 186/286,Special Topics in Middle Eastern History ,4,Focused study of historical roots of contemporary problems in the Middle East: Islamic modernism and Islamist movements; contacts with the West; ethnic and religious minorities; role of the military; economic resources and development. Department stamp and permission of instructor.,none
HINE 199,Independent Study in Near Eastern History ,4,Directed readings for undergraduates under the supervision of various faculty members. ,consent of instructor.
HISC 102,Technology in World History ,4,Technology as an agent of change. How have humans harnessed the power of nature? What factors have contributed to successes and failures? How has technology changed human life? How should we evaluate the quality of these changes?,none
HISC 103,Gender and Science in Historical Perspective ,4,History of womens struggles and strategies for access and equality in professional science. Questions related to gender bias in scienceas a social institution and as an epistemological enterprisewill be addressed in light of the historical and biographical readings.,none
HISC 104,History of Popular Science ,4,"Historical aspects of the popularization of science. The changing relation between expert science and popular understanding. The reciprocal impact of scientific discoveries and theories, and popular conceptions of the natural world.",none
HISC 105,History of Environmentalism ,4,"History of human effects on the natural environment, with emphasis on understanding the roles of the physical and biological sciences in providing insights into environmental processes.",none
HISC 106,The Scientific Revolution ,4,A cultural history of the formation of early modern science in the sixteenth and seventeenth centuries: the social forms of scientific life; the construction and meaning of the new cosmologies from Copernicus to Newton; the science of politics and the politics of science; the origins of experimental practice; how Sir Isaac Newton restored law and order to the West.+,none
HISC 107,The Emergence of Modern Science ,4,"The development of the modern conception of the sciences, and of the modern social and institutional structure of scientific activity, chiefly in Europe, during the eighteenth and nineteenth centuries.",none
HISC 108,Life Sciences in the Twentieth Century ,4,"The history of twentieth-century life sciences, with an emphasis on the way in which model organisms such as fruit flies, guinea pigs, bacteriophage, and zebra fish shaped the quest to unlock the secrets of heredity, evolution, and development.",none
HISC 109,Invention of Tropical Disease ,4,"Explores the origins of the idea of the tropics and tropical disease as a legacy of European conquest and colonization, and introduces students to themes in the history of colonialism, tropical medicine, and global public health.",none
